treat	bias	n	k	subject	market	indexed	period	price	p1	p2	p3	p4
t1	u	3	3	17	1	T	1	0.09	0.3	0.4	0.5	0.6
t1	u	3	3	6	1	T	1	0.4	0.4	0.3	0.3	0.4
t1	u	3	3	11	1	T	1	0.499	1	0.5	0.4	0.1
t1	u	3	3	7	2	T	1	0.433	0.5	0.5	0.5	0.5
t1	u	3	3	12	2	T	1	0.6	0.6	0.6	0.7	0.7
t1	u	3	3	8	2	T	1	0.8	0.7	0.7	0.6	0.5
t1	u	3	3	15	3	T	1	0.649	0.5	0.6	0.6	0.5
t1	u	3	3	16	3	T	1	0.7	0.4	0.6	0.4	0.6
t1	u	3	3	18	3	T	1	1	0.8	0.8	0.8	0.8
t1	u	3	3	4	4	T	1	0.1	1	0.7	0.9	0.8
t1	u	3	3	3	4	T	1	0.5	0.7	0.6	0.7	0.5
t1	u	3	3	13	4	T	1	0.95	0.5	0.4	0.5	0.5
t1	u	3	3	5	5	T	1	0.4	0.5	0.6	0.7	0.6
t1	u	3	3	9	5	T	1	0.949	1	0.8	0.5	0.5
t1	u	3	3	14	5	T	1	0.999	0.5	0.5	0.4	0.2
t1	u	3	3	2	6	T	1	0.846	0.7	0.6	0.8	0.8
t1	u	3	3	10	6	T	1	0.95	1	0.5	0.5	0.5
t1	u	3	3	1	6	T	1	1	0.9	0.8	0.7	0.6
t1	u	3	3	18	1	T	2	0.3	0.8	0.8	0.8	0.8
t1	u	3	3	16	1	T	2	0.5	0.4	0.6	0.4	0.6
t1	u	3	3	2	1	T	2	0.934	0.7	0.6	0.8	0.8
t1	u	3	3	7	2	T	2	0.423	0.5	0.5	0.5	0.5
t1	u	3	3	14	2	T	2	0.798	0.5	0.5	0.4	0.2
t1	u	3	3	8	2	T	2	0.95	0.7	0.7	0.6	0.5
t1	u	3	3	4	3	T	2	0.35	1	0.7	0.9	0.8
t1	u	3	3	15	3	T	2	0.648	0.5	0.6	0.6	0.5
t1	u	3	3	10	3	T	2	0.825	1	0.5	0.5	0.5
t1	u	3	3	1	4	T	2	0.3	0.9	0.8	0.7	0.6
t1	u	3	3	5	4	T	2	0.35	0.5	0.6	0.7	0.6
t1	u	3	3	13	4	T	2	0.799	0.5	0.4	0.5	0.5
t1	u	3	3	9	5	T	2	0.321	1	0.8	0.5	0.5
t1	u	3	3	11	5	T	2	0.399	1	0.5	0.4	0.1
t1	u	3	3	12	5	T	2	1	0.6	0.6	0.7	0.7
t1	u	3	3	17	6	T	2	0.115	0.3	0.4	0.5	0.6
t1	u	3	3	3	6	T	2	0.4	0.7	0.6	0.7	0.5
t1	u	3	3	6	6	T	2	0.45	0.4	0.3	0.3	0.4
t1	u	3	3	11	1	T	3	0.6	1	0.5	0.4	0.1
t1	u	3	3	8	1	T	3	0.775	0.7	0.7	0.6	0.5
t1	u	3	3	14	1	T	3	0.948	0.5	0.5	0.4	0.2
t1	u	3	3	1	2	T	3	0.35	0.9	0.8	0.7	0.6
t1	u	3	3	10	2	T	3	0.35	1	0.5	0.5	0.5
t1	u	3	3	4	2	T	3	0.5	1	0.7	0.9	0.8
t1	u	3	3	13	3	T	3	0.675	0.5	0.4	0.5	0.5
t1	u	3	3	15	3	T	3	0.799	0.5	0.6	0.6	0.5
t1	u	3	3	12	3	T	3	1	0.6	0.6	0.7	0.7
t1	u	3	3	16	4	T	3	0.328	0.4	0.6	0.4	0.6
t1	u	3	3	18	4	T	3	0.38	0.8	0.8	0.8	0.8
t1	u	3	3	5	4	T	3	0.999	0.5	0.6	0.7	0.6
t1	u	3	3	17	5	T	3	0.245	0.3	0.4	0.5	0.6
t1	u	3	3	7	5	T	3	0.403	0.5	0.5	0.5	0.5
t1	u	3	3	9	5	T	3	1	1	0.8	0.5	0.5
t1	u	3	3	6	6	T	3	0.2	0.4	0.3	0.3	0.4
t1	u	3	3	3	6	T	3	0.25	0.7	0.6	0.7	0.5
t1	u	3	3	2	6	T	3	0.867	0.7	0.6	0.8	0.8
t1	u	3	3	10	1	T	4	0.325	1	0.5	0.5	0.5
t1	u	3	3	1	1	T	4	0.5	0.9	0.8	0.7	0.6
t1	u	3	3	2	1	T	4	0.998	0.7	0.6	0.8	0.8
