treat	subject	p1	p2	p3	p4
t1	1	0.9	0.8	0.7	0.6
t1	2	0.7	0.6	0.8	0.8
t1	3	0.7	0.6	0.7	0.5
t1	4	1	0.7	0.9	0.8
t1	5	0.5	0.6	0.7	0.6
t1	6	0.4	0.3	0.3	0.4
t1	7	0.5	0.5	0.5	0.5
t1	8	0.7	0.7	0.6	0.5
t1	9	1	0.8	0.5	0.5
t1	10	1	0.5	0.5	0.5
t1	11	1	0.5	0.4	0.1
t1	12	0.6	0.6	0.7	0.7
t1	13	0.5	0.4	0.5	0.5
t1	14	0.5	0.5	0.4	0.2
t1	15	0.5	0.6	0.6	0.5
t1	16	0.4	0.6	0.4	0.6
t1	17	0.3	0.4	0.5	0.6
t1	18	0.8	0.8	0.8	0.8
t2	1	0.6	0.6	0.5	0.5
t2	2	0.6	0.6	0.6	0.5
t2	3	0.2	0.3	0.1	0.1
t2	4	0.4	0.5	0.6	0.7
t2	5	0.4	0.4	0.1	0.1
t2	6	0.5	0.3	0.4	0.3
t2	7	0.6	0.6	0.5	0.3
t2	8	0.1	0.4	0.8	0.8
t2	9	0.6	0.5	0.7	0.5
t2	10	0.6	0.7	0.5	0.3
t2	11	0.1	0.3	0.5	0.5
t2	12	0.3	0.4	0.4	0.2
t2	13	0.1	0.5	0.5	0.5
t2	14	0.5	0.7	0.5	0.5
t2	15	0.8	0.9	0.9	0.8
t2	16	0.1	0.2	0.1	0.1
t2	17	0.9	0.8	0.8	0.5
t2	18	0.3	0.6	0.5	0.1
t3	1	0.2	0.4	0.4	0.5
t3	2	1	1	0.6	0.5
t3	3	0.5	0.5	0.5	0.6
t3	4	0.5	0.4	0.8	0.9
t3	5	0.2	0.3	0.4	0.4
t3	6	1	0.7	0.7	0.6
t3	7	0.5	0.4	0.5	0.5
t3	8	0.1	0.4	0.3	0.5
t3	9	0.1	0.3	0.3	0.1
t3	10	0.5	0.6	0.7	0.7
t3	11	1	1	0.9	0.8
t3	12	0.4	0.5	0.5	0.5
t3	13	0.5	0.5	0.5	0.5
t3	14	0.5	0.6	0.4	0.5
t3	15	0.5	0.7	0.8	0.7
t3	16	0.6	0.4	0.5	0.6
t3	17	0.6	0.6	0.6	0.6
t3	18	0.6	0.5	0.5	0.4
t4	1	0.5	0.5	0.1	0.1
t4	2	0.4	0.5	0.5	0.6
t4	3	0.6	0.4	0.5	0.6
t4	4	0.4	0.4	0.4	0.3
t4	5	0.2	0.2	0.2	0.1
t4	6	0.8	0.8	0.8	0.8
t4	7	0.6	0.5	0.5	0.7
t4	8	0.1	0.1	0.1	0.1
t4	9	0.1	0.1	0.1	0.1
t4	10	0.3	0.3	0.3	0.3
t4	11	0.6	0.4	0.5	0.4
t4	12	0.4	0.4	0.3	0.4
t4	13	0.7	0.7	0.7	0.7
t4	14	0.7	0.8	0.8	0.6
t4	15	0.5	0.4	0.5	0.2
t4	16	0.8	0.9	0.8	0.8
t4	17	0.6	0.5	0.5	0.5
t4	18	0.1	0.1	0.1	0.1
t5	1	0.5	0.5	0.5	0.5
t5	2	0.5	0.5	0.3	0.1
t5	3	0.9	1	0.9	0.8
t5	4	0.5	0.3	0.2	0.5
t5	5	0.9	0.5	0.9	1
t5	6	0.7	0.5	0.6	0.7
t5	7	1	0.5	0.6	0.1
t5	8	0.7	0.7	0.6	0.5
t5	9	0.6	0.7	0.8	0.8
t5	10	0.4	0.3	0.5	0.4
t5	11	0.5	0.6	0.3	0.4
t5	12	0.7	0.6	0.8	0.5
t5	13	1	0.9	0.5	0.1
t5	14	0.5	0.4	0.2	0.1
t5	15	0.6	0.4	0.5	0.3
t5	16	0.4	0.5	0.6	0.5
t5	17	1	0.9	0.8	0.7
t5	18	0.9	1	1	1
t6	1	0.4	0.5	0.6	0.6
t6	2	0.5	0.5	0.1	0.1
t6	3	0.4	0.5	0.5	0.1
t6	4	0.7	0.6	0.6	0.6
t6	5	0.8	0.7	0.9	0.5
t6	6	1	0.9	0.5	0.3
t6	7	0.7	0.6	0.8	0.3
t6	8	0.2	0.3	0.4	0.4
t6	9	0.3	0.5	0.4	0.4
t6	10	0.2	0.3	0.5	0.6
t6	11	0.5	0.6	0.6	0.5
t6	12	0.6	0.5	0.6	0.7
t6	13	0.2	0.2	0.5	0.5
t6	14	0.6	0.6	0.5	0.5
t6	15	0.8	0.7	0.6	0.7
t6	16	0.8	0.7	0.7	0.7
t6	17	0.5	0.3	0.4	0.1
t6	18	0.8	0.7	0.6	0.5
t7	1	0.6	0.6	0.5	0.5
t7	2	1	0.8	0.7	0.5
t7	3	0.1	0.8	0.1	0.8
t7	4	1	0.9	0.8	0.9
t7	5	0.4	0.7	0.6	0.6
t7	6	0.6	0.7	0.6	0.8
t7	7	0.5	0.6	0.6	0.7
t7	8	0.7	0.8	0.8	0.7
t7	9	0.5	0.4	0.7	0.7
t7	10	0.9	0.8	0.7	0.6
t7	11	0.9	0.8	0.7	0.8
t7	12	1	0.4	0.3	0.1
t7	13	0.1	0.2	0.4	0.1
t7	14	0.1	0.5	0.5	0.5
t7	15	0.7	0.8	0.7	0.6
t7	16	0.7	0.4	0.5	0.5
t7	17	0.4	0.4	0.4	0.4
t7	18	0.5	0.5	0.5	0.5
t8	1	0.6	0.8	0.7	0.5
t8	2	0.5	0.4	0.4	0.2
t8	3	0.4	0.6	0.8	0.5
t8	4	0.5	0.5	0.4	0.4
t8	5	0.8	0.7	0.7	0.1
t8	6	0.5	0.5	0.3	0.1
t8	7	0.1	0.1	0.1	0.1
t8	8	0.3	0.4	0.5	0.6
t8	9	0.7	0.8	0.1	0.4
t8	10	0.4	0.5	0.7	0.4
t8	11	1	0.9	0.8	0.8
t8	12	1	0.5	0.5	0.1
t8	13	1	0.9	0.8	0.7
t8	14	1	0.6	0.5	0.6
t8	15	0.8	0.5	0.8	0.5
t8	16	0.1	0.4	0.5	0.4
t8	17	0.1	0.1	0.1	0.1
t8	18	0.4	0.5	0.6	0.5
